DATE,MABMM301USM189S
2015-04-01,11929400000000.0
2015-05-01,11962200000000.0
2015-06-01,12007600000000.0
2015-07-01,12059600000000.0
2015-08-01,12110500000000.0
2015-09-01,12165900000000.0
2015-10-01,12197800000000.0
2015-11-01,12287000000000.0
2015-12-01,12342700000000.0
2016-01-01,12470500000000.0
2016-02-01,12546900000000.0
2016-03-01,12610600000000.0
2016-04-01,12700100000000.0
2016-05-01,12769100000000.0
2016-06-01,12837000000000.0
2016-07-01,12895700000000.0
2016-08-01,12983100000000.0
2016-09-01,13044200000000.0
2016-10-01,13112900000000.0
2016-11-01,13183300000000.0
2016-12-01,13212400000000.0
2017-01-01,13288700000000.0
2017-02-01,13354600000000.0
2017-03-01,13425100000000.0
2017-04-01,13490800000000.0
2017-05-01,13544700000000.0
2017-06-01,13572400000000.0
2017-07-01,13632400000000.0
2017-08-01,13687900000000.0
2017-09-01,13730400000000.0
2017-10-01,13783000000000.0
2017-11-01,13807900000000.0
2017-12-01,13849100000000.0
2018-01-01,13870400000000.0
2018-02-01,13904900000000.0
2018-03-01,13964800000000.0
2018-04-01,14001500000000.0
2018-05-01,14067500000000.0
2018-06-01,14135100000000.0
2018-07-01,14168100000000.0
2018-08-01,14211900000000.0
2018-09-01,14242800000000.0
2018-10-01,14249600000000.0
2018-11-01,14259500000000.0
2018-12-01,14365600000000.0
2019-01-01,14447100000000.0
2019-02-01,14476900000000.0
2019-03-01,14524500000000.0
2019-04-01,14571100000000.0
2019-05-01,14666600000000.0
2019-06-01,14794900000000.0
2019-07-01,14874200000000.0
2019-08-01,14945500000000.0
2019-09-01,15034900000000.0
2019-10-01,15161500000000.0
2019-11-01,15263200000000.0
2019-12-01,15319800000000.0
2020-01-01,15416400000000.0
2020-02-01,15459700000000.0
2020-03-01,16002400000000.0
2020-04-01,17033800000000.0
2020-05-01,17883200000000.0
2020-06-01,18179000000000.0
2020-07-01,18328800000000.0
2020-08-01,18392400000000.0
2020-09-01,18618000000000.0
2020-10-01,18754600000000.0
2020-11-01,19005500000000.0
2020-12-01,19088800000000.0
2021-01-01,19394600000000.0
